item_id,item_name,item_classification,filler_weight,option_type,worst_allowed_value,best_allowed_value,default_starting_value,default_best_value,default_increment,default_value,notes
1,Progressive mech slot 1 tonnage,progression,,progressive,40,100,50,100,10,,
2,Progressive mech slot 2 tonnage,progression,,progressive,40,100,50,100,10,,
3,Progressive mech slot 3 tonnage,progression,,progressive,30,100,40,100,10,,
4,Progressive mech slot 4 tonnage,progression,,progressive,20,100,30,100,10,,
5,Progressive lance tonnage,progression,,progressive,130,400,200,400,10,,
,,,,,,,,,,,
100,Cash,filler,1,,1,100000000,,,,1000000,
101,Pilot XP,filler,2,,10,10000,,,,2000,
,,,,,,,,,,,
200,Light mech parts for sale,filler,2,,1,10,,,,3,number of parts per world
201,Medium mech parts for sale,filler,2,,1,10,,,,3,
202,Heavy mech parts for sale,filler,2,,1,10,,,,2,
203,Assault mech parts for sale,filler,1,,1,10,,,,1,
204,Royal mech parts for sale,filler,1,,1,10,,,,1,
205,Laser weapons for sale,filler,1,,1,10,,,,1,
206,Missile weapons for sale,filler,1,,1,10,,,,1,
207,Ballistic weapons for sale,filler,1,,1,10,,,,1,
208,Support weapons for sale,filler,1,,1,10,,,,1,
209,Melee equipment for sale,filler,1,,1,10,,,,1,
210,Cooling equipment for sale,filler,1,,1,10,,,,1,
211,Misc equipment for sale,filler,1,,1,10,,,,1,
,,,,,,,,,,,
300,Laser weapons cache,filler,1,random_range,1,10,3,5,,,"number of unique items (e.g. 3 => 1d2 LPL, 1d6 ML++, and 1 L-COIL)"
301,Missile weapons cache,filler,1,random_range,1,10,3,5,,,
302,Ballistic weapons cache,filler,1,random_range,1,10,3,5,,,
303,Support weapons cache,filler,1,random_range,1,10,3,5,,,
304,Melee equipment cache,filler,1,random_range,1,10,3,5,,,
305,Cooling equipment cache,filler,1,random_range,1,10,3,5,,,
306,Misc equipment cache,filler,1,random_range,1,10,3,5,,,
,,,,,,,,,,,
400,Morale,useful,,,1,10,,,,1,
401,High spirits,filler,1,,1,90,,,,30,"days, for one pilot"
402,Progressive tech points,useful,,,1,10,,,,3,
403,Progressive mech bays,useful,,progressive,6,18,6,18,2,,
404,Progressive med points,useful,,,1,10,,,,2,
405,Progressive pilot berths,useful,,progressive,8,24,8,24,2,,
406,Progressive training module XP per day,filler,1,progressive,0,1000,0,100,20,,
407,Progressive training module max XP,filler,1,progressive,10000,100000,10000,50000,10000,,
408,Progressive recreation room,useful,,,,,,,,,
409,Progressive Argo drive speed,useful,,,,,,,,,
410,Black market access,useful,,,,,,,,,Disable normal black market access event. Disable chance to lose access
,,,,,,,,,,,
500,Jump jets,progression,,optional,,,,,,findable,Findable => must be found as an item drop
501,Precision shot,progression,,optional,,,,,,starting,Starting => available at the start of the game
502,Vigilance,progression,,optional,,,,,,starting,
503,Multi-target,progression,,optional,,,,,,starting,
504,Breaching shot,progression,,optional,,,,,,findable,
505,Bulwark,progression,,optional,,,,,,starting,
506,Coolant vent,progression,,optional,,,,,,findable,
507,Sure footing,progression,,optional,,,,,,starting,
508,Ace pilot,progression,,optional,,,,,,findable,
509,Sensor lock,progression,,optional,,,,,,starting,
510,Master tactician,progression,,optional,,,,,,findable,
,,,,,,,,,,,
600,Progressive bulwark damage reduction,useful,,progressive,0,30,10,25,5,,
601,Progressive cover damage reduction,useful,,progressive,0,30,10,25,5,,
602,Progressive guarded damage reduction,useful,,progressive,0,30,10,25,5,,
603,Progressive precision shot cost,useful,,progressive,100,5,40,25,5,,
604,Progressive vigilance cost,useful,,progressive,100,5,40,25,5,,
605,Progressive sensor lock debuff,useful,,progressive,0,5,1,4,1,,both evasion and sensor impaired
606,Progressive resolve per kill,filler,2,progressive,0,100,5,25,5,,
607,Progressive ammo bin capacity multiplier,useful,,progressive,0.25,10,0.5,2,0.25,,
608,CASE,progression,,optional,,,,,,starting,TODO case per location?
