location_id,location_name,location_type,unlocked_region,notes
1,Mission 2: Rent to Own,story,,
2,Mission 3: Capture the Argo,story,Weldry,
3,Mission 4: Liberation of Weldry,story,Panzyr,
4,Mission 5: Liberation: Panzyr,story,Smithon,
5,Mission 6: Liberation: Smithon,story,Anvelt,
6,Mission 7: Served Cold,story,Artru,No shop on Artru
7,Mission 8: Raising the Dead,story,,
8,Mission 9: Escape,story,,
9,Mission 10: Defense: Smithon,story,Itrom,
10,Mission 11: Liberate: Itrom,story,,
11,Mission 12: Defense: Panzyr,story,Guldra,
12,Mission 13: Gunboat Diplomacy,story,Tyrlon,
13,Mission 14: Liberate: Tyrlon,story,Lyris,
14,Mission 15: Locura,story,Coromodir,
15,Mission 16: Showdown,story,,
,,,,
100,Argo Improved Power Conduits,argo,,
101,Argo: High-Capacity Power Conduits,argo,,
102,Argo: Structural Repair,argo,,
103,Argo: Structural Reinforcement,argo,,
104,Argo: Drive Repairs,argo,,
105,Argo: Drive Upgrades,argo,,
106,Argo: Mech Bay 2,argo,,
107,Argo: Mech Bay 3,argo,,
108,Argo: Repair Scaffolding,argo,,
109,Argo: Refit Harness,argo,,
110,Argo: Automation,argo,,
111,Argo: Improved Automation,argo,,
112,Argo: Machine Shop,argo,,
113,Argo: Beta Pod,argo,,
114,Argo: Gamma Pod,argo,,
115,Argo: Med Bay 2,argo,,
116,Argo: Med Bay 3,argo,,
117,Argo: Hospital Bay,argo,,
118,Argo: Lounge,argo,,
119,Argo: Upgraded Lounge,argo,,
120,Argo: Gynmasium,argo,,
121,Argo: Hydroponic Garden,argo,,
122,Argo: Library,argo,,
123,Argo: Improved Library,argo,,
124,Argo: Arcade,argo,,
125,Argo: Low-G Pool,argo,,
126,Argo: Training Module 1,argo,,
127,Argo: Training Module 2,argo,,
128,Argo: Training Module 3,argo,,
,,,,
200,First pilot to 5 Gunnery,pilot,,
201,First pilot to 5 Piloting,pilot,,
202,First pilot to 5 Guts,pilot,,
203,First pilot to 5 Tactics,pilot,,
204,First pilot to 5 in all skills,pilot,,
205,First pilot to 8 Gunnery,pilot,,
206,First pilot to 8 Piloting,pilot,,
207,First pilot to 8 Guts,pilot,,
208,First pilot to 8 Tactics,pilot,,
210,First pilot to 8 in all skills,pilot,,
209,First pilot to 10 Gunnery,pilot,,
211,First pilot to 10 Piloting,pilot,,
212,First pilot to 10 Guts,pilot,,
213,First pilot to 10 Tactics,pilot,,
214,First pilot to 10 in all skills,pilot,,
